trainMean,validStd,epochs,trainStd,validMean
0.74477100602235,0.23648940659952,1,0.31462199738375,0.48391909866405
0.6153002212377,0.23243321634416,2,0.37086575042783,0.4247968940781
0.57671445732558,0.20208566770483,3,0.43186693712535,0.36355039696082
0.55955655097205,0.18554274573663,4,0.44405424919672,0.33825193823213
0.51848492342106,0.17964559612509,5,0.42192221248724,0.31533571027194
0.47857560839475,0.23245885050281,6,0.4006125931474,0.37864054208831
0.48990115456036,0.16592963321369,7,0.48157162364103,0.29510261963514
0.4751285328457,0.27349951655082,8,0.5181884566723,0.45534772824249
0.4802360139438,0.13720138248834,9,0.5055601842212,0.23543892031194
0.45197235153319,0.14354673381858,10,0.46045948992226,0.24290661508348
0.42981695736307,0.13056500554919,11,0.43386047548859,0.21994567803631
0.41468629174778,0.125150050718,12,0.4338538200333,0.21581590000369
0.42819299321491,0.13537717818075,13,0.45064605192072,0.21608939967246
0.38774959672446,0.13565309394823,14,0.39616070704207,0.21816034547237
0.41078258930793,0.11060074447518,15,0.51299719635871,0.18935167615177
0.42332774671013,0.1163412616023,16,0.5143170139433,0.20368949873227
0.41025457616342,0.12293333656653,17,0.45864800073667,0.19767361498543
0.39216925663641,0.11358623944557,18,0.484270486863,0.19072393887564
0.39719677807807,0.10766378596437,19,0.48632393232369,0.16497844235391
0.36996409123276,0.12692455893006,20,0.43151165999395,0.18923464565728
0.36797293145719,0.11959297607918,21,0.42935659329367,0.18553949858801
0.37360837500455,0.10642143446622,22,0.42863241787481,0.16973316573331
0.33008992865507,0.103465015585,23,0.32875600519643,0.16412616255411
0.34863202642919,0.098982424502035,24,0.41342744459964,0.16286272938919
0.36790601676239,0.10958506092592,25,0.44588034295016,0.16455273211182
0.3635511481516,0.098761828034527,26,0.46465590325713,0.15411366245257
0.35407803425733,0.095051381634015,27,0.45352384140376,0.1557634216241
0.3373710675005,0.10238358933166,28,0.3776267392711,0.16056556037597
0.36431719500979,0.094458441439318,29,0.47406848310466,0.15154474254166
0.36218152886067,0.09748914579213,30,0.43290339469919,0.15028441306322
0.33075701806229,0.090719301979704,31,0.37749087843738,0.14583028283209
